,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"Screw you #Apple, you are not welcome in Indonesia. We like #Samsung more than you.

https://t.co/pxFqgFvsdw",screw you apple you are not welcome in indonesia we like samsung more than you ,0.04999999999999999,0.7,negative,0.211,0.653,0.136,-0.0976,79,15
1,"Hey @Apple #Apple 
I'll let you take my icon arrangement duties over again if you fix your photos app dumpster fire.",hey apple ll let you take my icon arrangement duties over again if you fix your photos app dumpster fire ,0.0,0.0,negative,0.182,0.818,0.0,-0.4588,105,20
2,@Apple completely f’d up my music files with their latest update. I can play them on my laptop but 25% of my 1000’s of songs purchased on itunes are un-playable. Great job on the QA #apple, completely d up my music files with their latest update can play them on my laptop but 25 of my 1000 of songs purchased on itunes are un playable great job on the qa apple,0.4666666666666666,0.6833333333333332,positive,0.0,0.813,0.187,0.81,172,35
3,Check out iPhone 14 Used Fully Functional https://t.co/2KsG1kdr38 #eBay via @eBay #iphone14 #sale #christmas #apple,check out iphone 14 used fully functional ebay via iphone14 sale christmas apple,0.0,0.0,neutral,0.0,1.0,0.0,0.0,80,13
4,"Baidu has been confirmed as the provider of artificial intelligence models for Apple in China, marking a significant development in the landscape of international technology collaborations. 

#Apple #AppleIntelligence #Baidu

https://t.co/0uXsPnLD9m",baidu has been confirmed as the provider of artificial intelligence models for apple in china marking significant development in the landscape of international technology collaborations apple appleintelligence baidu ,0.04375000000000001,0.71875,positive,0.0,0.841,0.159,0.5994,216,28
5,"@Apple and Baidu team up to boost AI features for Chinese iPhone users. However, challenges remain in adapting Baidu's language models for a seamless experience. 

#apple #iphone #baidu #ai 
https://t.co/Ob8jvXdf2V", and baidu team up to boost ai features for chinese iphone users however challenges remain in adapting baidu language models for seamless experience apple iphone baidu ai ,0.05,0.05,positive,0.0,0.862,0.138,0.4588,171,27
6,"@enilev @_bella_webb @mvollmer1 @BetaMoroney @Khulood_Almani @Shi4Tech @CurieuxExplorer @jblefevre60 @HaroldSinnott @HeinzVHoenen @enricomolinari @WhiteheartVic @SwissCognitive @HakomTimeSeries 👗#Textile Exchange tackles #fashion’s last #climate taboo:
Growth 
by @_bella_webb

ThX my @enilev🪔mom

🌐#BOSCh 
#X #Linkedin #AI #GenAI 
#5g #web3 #FRENCHtech 
#Technology #digitalhealth 
#uk #usa #europe #Australia 
#Germany #china #bitCOiN 
#women #apple #SOciaLmeDia 
🍁", bella webb almani textile exchange tackles fashion last climate taboo growth by bella webb thx my mom bosch linkedin ai genai 5g web3 frenchtech technology digitalhealth uk usa europe australia germany china bitcoin women apple socialmedia ,0.0,0.06666666666666667,positive,0.0,0.87,0.13,0.6249,241,36
7,"#Apple faces a #SalesBan in #Indonesia due to the #TKDN policy requiring 35% #LocalComponents. Despite 2.1 million #iPhones sold in 2023, its market share remains small, prompting an increased investment proposal.

Read for more info ⬇️
https://t.co/cSlSQlSgbz", apple faces salesban in indonesia due to the tkdn policy requiring 35 localcomponents despite 2 1 million iphones sold in 2023 its market share remains small prompting an increased investment proposal read for more info ,0.041666666666666664,0.425,positive,0.0,0.878,0.122,0.5106,221,35
8,"#Apple is diversifying #production away from #China, with US$6 billion in #iPhone #exports from #India in 2024. Its suppliers include #Foxconn, #TataElectronics, #Wistron, and others across multiple Indian states.

Gain details here ⬇️
https://t.co/cbsBaVj7iO", apple is diversifying production away from china with us 6 billion in iphone exports from india in 2024 its suppliers include foxconn tataelectronics wistron and others across multiple indian states gain details here ,0.0,0.0,positive,0.0,0.901,0.099,0.5267,218,33
9,"📱 #Apple's Future Leadership: A Smooth Transition?

https://t.co/Q8i6ParpBQ", apple future leadership smooth transition ,0.2,0.3125,neutral,0.0,1.0,0.0,0.0,43,5
