,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,"'Elections 2025 are heating up! 🗳️🔥 Who's your pick for the leader who'll help shape our future? Let's talk policies, promises, and people power! Share your thoughts below! #Elections2025 #VoteForChange 🌍🤔' #Elections2025 #VoteForChange #FutureLeaders", elections 2025 are heating up who your pick for the leader who ll help shape our future let talk policies promises and people power share your thoughts below elections2025 voteforchange elections2025 voteforchange futureleaders,0.0,0.125,positive,0.0,0.8,0.2,0.7579,228,33
1,"LOOK: The COMELEC releases the official ballot template for the May 12, 2025 National, Local, and BARMM Parliamentary Elections for overseas absentee voters. 

The ballot lists 66 senatorial candidates and 155 party-list groups. @bncdotph #Elections2025 https://t.co/vbO1Dm6qm7",look the comelec releases the official ballot template for the may 12 2025 national local and barmm parliamentary elections for overseas absentee voters the ballot lists 66 senatorial candidates and 155 party list groups elections2025 ,0.0,0.0,positive,0.056,0.873,0.071,0.1531,235,35
2,"How Long Until the Elections? Check https://t.co/7HXiL5GArl!

A countdown timer on https://t.co/7HXiL5GArl shows exactly how many seconds remain until election day. Stay tuned and watch the countdown!

📢 #Elections2025 #Countdown #CenkFi",how long until the elections check countdown timer on shows exactly how many seconds remain until election day stay tuned and watch the countdown elections2025 countdown cenkfi,0.2333333333333333,0.3833333333333333,neutral,0.0,1.0,0.0,0.0,176,27
3,33 prospective candidates. 9 to go! #Elections2025 #PNM,33 prospective candidates 9 to go elections2025 pnm,0.0,0.0,neutral,0.0,1.0,0.0,0.0,51,8
4,"Heres my #BTC Long I took. Looking to sweep the 99k level. take 50% and let the rest ride.

Elections coming up, i think we might run befroe we dump.

#elections2025 #crypto https://t.co/2qm6wkVLkC",heres my btc long took looking to sweep the 99k level take 50 and let the rest ride elections coming up think we might run befroe we dump elections2025 crypto ,-0.05,0.4,negative,0.082,0.918,0.0,-0.3818,159,30
5,Germany accuses Musk of meddling in upcoming elections. Where else has he made his voice heard? 🤔 Read more: https://t.co/AD24nintem #MuskInterference #Elections2025 #automateyouraccount #freewithnectar,germany accuses musk of meddling in upcoming elections where else has he made his voice heard read more muskinterference elections2025 automateyouraccount freewithnectar,0.5,0.5,negative,0.103,0.897,0.0,-0.34,169,22
6,"🇷🇴 CLUJ MENTIONED!!! 🇷🇴

#Romania #Cluj #ClujNapoca #Georgescu #Elections2025 https://t.co/5QmSTZjsXN", cluj mentioned romania cluj clujnapoca georgescu elections2025 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,64,7
7,Elections 2025 are heating up! 🗳️🔥 Who's got your vote? Let's create a future we believe in together! 💪🌎 Drop your thoughts below. #Elections2025 #YourVoteYourVoice #Elections2025 #YourVoteYourVoice #BelieveInOurFuture,elections 2025 are heating up who got your vote let create future we believe in together drop your thoughts below elections2025 yourvoteyourvoice elections2025 yourvoteyourvoice believeinourfuture,0.0,0.125,neutral,0.077,0.846,0.077,0.0,196,25
8,"🇽🇰🇦🇱🇲🇰🇭🇷 Key elections across the Balkans in 2025 will shape the region’s future. Kosovo, Albania, North Macedonia, and Croatia prepare for decisive votes impacting stability and progress. 🗳️ #Balkans #Elections2025 #Democracy https://t.co/bsOGD4qnI6", key elections across the balkans in 2025 will shape the region future kosovo albania north macedonia and croatia prepare for decisive votes impacting stability and progress balkans elections2025 democracy ,0.0,0.5625,positive,0.0,0.852,0.148,0.5719,206,29
9,"JANUARY 6TH Is Coming...

Support Those Who Stood Up For Our #Constitutional #Rights In 2021.

https://t.co/VlHsNEbKfh

#StopTheSteal #Election #Elections #Election2020 #Election2024 #TrumpWon #Elections2025 #ConsentToBeGoverned #Vote #Voting #Voters #VoterRights #VotersRights",january 6th is coming support those who stood up for our constitutional rights in 2021 stopthesteal election elections election2020 election2024 trumpwon elections2025 consenttobegoverned vote voting voters voterrights votersrights,0.0,0.0,positive,0.0,0.909,0.091,0.4019,231,28
